  device   |  rows   |   dataset   | relpages | workers |  wm   | eic | nmatches | ndistinct |  caching  |  optimal   | cnt_master |    timing_master     | cnt_p1 |      timing_p1       | cnt_p2 |      timing_p2       | cnt_p3 |      timing_p3       | cnt_p4 |      timing_p4       
 raid-nvme | 1000000 | cyclic      |    41667 |       4 | 65536 |   1 |      112 |       100 | uncached  | seqscan    |          3 |   116.92266666666667 |      3 |   110.03033333333333 |      3 |   119.67866666666667 |      3 |   219.01833333333335 |      3 |   218.73633333333336
 raid-nvme | 1000000 | cyclic      |    41667 |       4 |  4096 |   1 |       92 |       100 | uncached  | seqscan    |          3 |              117.472 |      3 |              123.093 |      3 |   115.90633333333334 |      3 |   219.06133333333332 |      3 |   225.68800000000002
 raid-nvme | 1000000 | uniform     |    41667 |       4 |  4096 |   1 |     4048 |     10000 | uncached  | seqscan    |          3 |   111.19133333333333 |      3 |   110.61333333333334 |      3 |   107.58133333333335 |      3 |   212.51099999999997 |      3 |   227.40599999999998
 raid-nvme | 1000000 | cyclic      |    41667 |       4 |   128 |   1 |       92 |       100 | uncached  | seqscan    |          3 |   121.24066666666666 |      3 |   120.39566666666667 |      3 |   125.14166666666667 |      3 |   221.67033333333333 |      3 |              234.205
 raid-nvme | 1000000 | linear      |    41667 |       4 | 65536 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |    91.39233333333334 |      3 |    99.04833333333333 |      3 |    97.52066666666667 |      3 |   190.54533333333333 |      3 |   215.47766666666666
 data      | 1000000 | uniform     |    41667 |       4 | 65536 |   1 |      512 |     10000 | uncached  | bitmapscan |          3 |   386.76233333333334 |      3 |   386.48299999999995 |      3 |    412.3956666666667 |      3 |   485.84933333333333 |      3 |    486.6803333333333
 raid-nvme | 1000000 | linear      |    41667 |       4 |   128 |   1 |     6048 |     10000 | uncached  | indexscan  |          3 |    70.89999999999999 |      3 |    70.42933333333333 |      3 |    71.89399999999999 |      3 |    169.7566666666667 |      3 |   162.53166666666667
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 | 65536 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |              107.015 |      3 |              103.698 |      3 |   106.42900000000002 |      3 |   201.72533333333334 |      3 |              224.681
 raid-nvme | 1000000 | uniform     |    41667 |       4 |  4096 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |   128.33666666666667 |      3 |   124.26833333333333 |      3 |   127.52133333333335 |      3 |   221.45166666666668 |      3 |              199.231
 raid-nvme | 1000000 | linear      |    41667 |       4 | 65536 |   1 |     6048 |     10000 | uncached  | indexscan  |          3 |    75.32700000000001 |      3 |    78.07633333333332 |      3 |    79.64366666666668 |      3 |   167.72133333333332 |      3 |   164.26133333333334
 raid-nvme | 1000000 | cyclic      |    41667 |       4 | 65536 |   1 |       72 |       100 | uncached  | seqscan    |          3 |   119.86800000000001 |      3 |   126.78500000000001 |      3 |   126.88933333333334 |      3 |              212.029 |      3 |   205.47966666666665
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 |   128 |   1 |       92 |       100 | uncached  | seqscan    |          3 |   123.02633333333334 |      3 |   122.84766666666667 |      3 |   124.83766666666666 |      3 |   214.29533333333333 |      3 |   234.36400000000003
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 | 65536 |   1 |     6048 |     10000 | uncached  | indexscan  |          3 |               77.897 |      3 |    81.52833333333334 |      3 |    79.51866666666666 |      3 |              168.588 |      3 |              161.034
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 | 65536 |   1 |       72 |       100 | uncached  | seqscan    |          3 |   127.34666666666668 |      3 |   118.64733333333334 |      3 |   123.48966666666666 |      3 |   217.57266666666666 |      3 |              230.144
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 |  4096 |   1 |     6048 |     10000 | uncached  | indexscan  |          3 |    84.13133333333333 |      3 |    77.96633333333334 |      3 |    81.77133333333335 |      3 |   172.01233333333334 |      3 |   175.64900000000003
 raid-nvme | 1000000 | linear      |    41667 |       4 |  4096 |   1 |     6048 |     10000 | uncached  | indexscan  |          3 |    70.64766666666667 |      3 |    72.84366666666666 |      3 |               75.488 |      3 |   155.86466666666666 |      3 |              158.188
 raid-nvme | 1000000 | uniform     |    41667 |       4 |  4096 |   1 |      512 |     10000 | uncached  | bitmapscan |          3 |   170.13633333333334 |      3 |   160.60733333333334 |      3 |   156.72833333333335 |      3 |   255.34633333333338 |      3 |   265.50066666666663
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 |  4096 |   1 |       72 |       100 | uncached  | seqscan    |          3 |   125.26666666666667 |      3 |              123.382 |      3 |   130.11700000000002 |      3 |   209.96333333333334 |      3 |   209.52200000000002
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 |   128 |   1 |     6048 |     10000 | uncached  | indexscan  |          3 |               79.048 |      3 |    80.05466666666668 |      3 |    81.80366666666667 |      3 |   159.46666666666667 |      3 |   157.82766666666666
 data      | 1000000 | cyclic      |    41667 |       4 | 65536 |   1 |       72 |       100 | uncached  | seqscan    |          3 |   435.49399999999997 |      3 |    405.3426666666667 |      3 |   412.59400000000005 |      3 |    515.7116666666667 |      3 |              506.329
 raid-nvme | 1000000 | uniform     |    41667 |       4 | 65536 |   1 |      512 |     10000 | uncached  | bitmapscan |          3 |   169.68633333333332 |      3 |   157.82399999999998 |      3 |    153.5923333333333 |      3 |    249.0773333333333 |      3 |   251.12066666666666
 data      | 1000000 | cyclic-fuzz |    41667 |       4 | 65536 |   1 |       72 |       100 | uncached  | seqscan    |          3 |   429.90766666666667 |      3 |              421.491 |      3 |              430.855 |      3 |              509.009 |      3 |    512.4826666666667
 data      | 1000000 | uniform     |    41667 |       4 |  4096 |   1 |      512 |     10000 | uncached  | bitmapscan |          3 |   393.55400000000003 |      3 |   386.43100000000004 |      3 |   371.48633333333333 |      3 |   466.44699999999995 |      3 |    485.0663333333334
 data      | 1000000 | cyclic      |    41667 |       4 |   128 |   1 |       72 |       100 | uncached  | seqscan    |          3 |   433.76366666666667 |      3 |    456.8016666666667 |      3 |    445.7656666666667 |      3 |    505.3376666666666 |      3 |    516.6356666666667
 raid-nvme | 1000000 | cyclic      |    41667 |       4 |  4096 |   1 |       72 |       100 | uncached  | seqscan    |          3 |   123.43633333333332 |      3 |   115.68066666666665 |      3 |   123.42133333333334 |      3 |              194.479 |      3 |    222.1076666666667
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 |   128 |   1 |       72 |       100 | uncached  | seqscan    |          3 |              124.086 |      3 |              116.925 |      3 |               124.52 |      3 |   193.61866666666666 |      3 |    217.8226666666667
 raid-nvme | 1000000 | uniform     |    41667 |       4 | 65536 |   0 |       64 |     10000 | uncached  | bitmapscan |          3 |   175.79233333333335 |      3 |   176.78466666666668 |      3 |   188.96333333333334 |      3 |   241.76766666666666 |      3 |   238.03733333333332
 data      | 1000000 | cyclic-fuzz |    41667 |       4 |  4096 |   1 |       52 |       100 | uncached  | seqscan    |          3 |              317.943 |      3 |   322.03866666666664 |      3 |              326.136 |      3 |    382.4913333333334 |      3 |              389.614
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 |  4096 |   1 |     4048 |     10000 | uncached  | indexscan  |          3 |    54.71066666666667 |      3 |   56.693666666666665 |      3 |   53.568999999999996 |      3 |   118.10700000000001 |      3 |   120.50966666666666
 data      | 1000000 | cyclic      |    41667 |       4 | 65536 |   1 |       52 |       100 | uncached  | seqscan    |          3 |   317.97933333333333 |      3 |   334.18766666666664 |      3 |   325.24500000000006 |      3 |    381.3709999999999 |      3 |    378.7416666666666
 data      | 1000000 | cyclic      |    41667 |       4 |  4096 |   1 |       72 |       100 | uncached  | seqscan    |          3 |    446.9436666666666 |      3 |   417.16166666666663 |      3 |   453.92633333333333 |      3 |   509.97333333333336 |      3 |    512.9963333333334
